id,Passenger Type,Age,Type of Trip,Ticket Class,Trip Distance,Seat comfort,Departure/Arrival time convenient,Dining Service,Platform Location,Onboard wifi service,Onboard entertainment,Online support,Ease of Online booking,Train Staff Service,Leg room service,Baggage handling,Ticket Verification Service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,nation,Train Model Year,satisfaction
106478,Frequent Traveler,47,Work Commute,First Class,90,2,2,2,2,5,4,5,4,4,4,4,3,4,3,0,1,France,2001,satisfied
106479,Frequent Traveler,17,Leisure Trip,First Class,1649,3,3,3,3,5,5,5,5,4,3,4,4,5,5,50,43,Belgium,1950,satisfied
106480,Frequent Traveler,40,Work Commute,First Class,1549,1,1,2,1,3,5,4,4,4,4,4,5,4,4,0,0,Spain,1933,satisfied
106481,Frequent Traveler,35,Work Commute,First Class,2970,2,3,3,3,4,3,2,2,2,2,2,3,2,2,0,1,Norway,1936,dissatisfied
106482,Frequent Traveler,54,Work Commute,First Class,1596,2,2,2,2,3,4,4,4,4,4,4,5,4,4,,0,Italy,1987,satisfied
106483,Frequent Traveler,42,Work Commute,Standard,1196,4,3,3,3,4,4,4,4,5,1,1,5,1,4,0,0,Norway,1969,satisfied
106484,Frequent Traveler,39,Work Commute,Standard,1759,5,5,5,5,5,5,5,5,5,3,4,5,3,5,0,1,France,1952,satisfied
106485,Frequent Traveler,55,Leisure Trip,Standard,207,2,2,2,2,2,4,5,2,2,2,2,3,2,3,38,26,France,1974,satisfied
106486,Frequent Traveler,28,Leisure Trip,Standard,2082,4,5,4,3,4,4,4,4,4,4,,5,4,4,73,61,Germany,1976,dissatisfied
106487,Frequent Traveler,47,Work Commute,First Class,1490,2,2,2,2,4,4,4,5,5,5,5,5,5,4,0,11,Switzerland,2015,satisfied
106488,Frequent Traveler,59,Work Commute,First Class,772,3,3,3,3,2,4,5,4,4,4,4,5,4,3,0,0,Switzerland,1946,satisfied
106489,Frequent Traveler,41,Work Commute,First Class,1824,5,5,2,5,2,5,5,4,4,5,4,3,4,3,0,13,Spain,1985,satisfied
106490,Frequent Traveler,30,Leisure Trip,Standard,2064,4,4,4,4,5,5,5,5,3,5,4,3,4,5,4,13,Switzerland,1989,satisfied
106491,Frequent Traveler,28,Work Commute,First Class,3622,4,4,4,4,3,4,3,3,4,4,4,5,4,3,117,99,Austria,1941,satisfied
106492,,50,Work Commute,Standard,2599,3,3,3,1,5,3,5,5,1,1,4,3,2,5,0,0,France,1974,dissatisfied
106493,Frequent Traveler,54,Work Commute,First Class,374,4,4,4,4,3,4,5,4,4,5,4,4,4,3,0,,Netherlands,2012,satisfied
106494,Frequent Traveler,69,Work Commute,First Class,3969,2,2,2,2,3,5,1,3,3,2,3,1,3,1,8,14,Netherlands,1985,satisfied
106495,Occasional Traveler,28,Work Commute,First Class,3049,4,4,4,1,5,4,5,5,3,3,5,3,4,5,0,0,Switzerland,1953,dissatisfied
106496,Frequent Traveler,41,Work Commute,First Class,3109,1,1,1,1,3,4,4,4,4,4,4,5,4,4,0,0,France,1993,satisfied
106497,Frequent Traveler,30,Work Commute,First Class,954,1,1,4,1,5,5,5,5,1,1,5,5,5,5,41,40,Belgium,1986,satisfied
106498,Frequent Traveler,31,Leisure Trip,Standard,1199,4,5,4,3,4,4,4,4,3,5,4,3,4,4,0,0,Sweden,1965,dissatisfied
106499,Frequent Traveler,34,Work Commute,First Class,1678,5,5,5,5,5,5,4,4,4,4,4,3,4,4,24,11,Austria,2012,satisfied
106500,Frequent Traveler,48,Work Commute,Standard,1916,1,1,1,1,3,2,3,1,1,1,1,3,1,3,0,0,Sweden,1974,dissatisfied
106501,Occasional Traveler,21,Work Commute,Standard,1871,2,4,2,2,4,2,4,4,5,2,4,5,4,4,7,2,Netherlands,1988,dissatisfied
106502,Frequent Traveler,30,Work Commute,First Class,2780,2,2,2,2,4,4,4,4,3,4,3,3,4,4,0,0,Netherlands,2016,satisfied
106503,Occasional Traveler,37,Work Commute,Standard,2414,3,1,3,3,1,3,1,1,1,4,4,3,4,1,0,0,Netherlands,1991,dissatisfied
106504,Frequent Traveler,67,Leisure Trip,Comfort,260,0,0,0,1,3,5,4,3,3,2,2,5,3,3,0,0,France,1978,satisfied
106505,Frequent Traveler,45,Leisure Trip,Standard,1209,2,5,2,4,3,2,2,3,3,2,4,4,5,3,0,0,Belgium,2012,dissatisfied
106506,Occasional Traveler,8,Work Commute,Standard,2191,2,0,2,1,5,2,5,5,3,5,5,4,4,5,0,0,Norway,1995,dissatisfied
106507,Frequent Traveler,66,Leisure Trip,Standard,1226,2,2,2,2,5,2,5,5,2,3,2,2,2,5,0,0,Belgium,1969,dissatisfied
106508,Frequent Traveler,49,Work Commute,Comfort,1623,1,3,3,3,3,2,4,1,1,1,1,2,1,2,0,0,Belgium,2005,dissatisfied
106509,Frequent Traveler,55,Leisure Trip,Standard,2007,4,5,4,2,1,4,1,1,5,2,4,3,5,1,0,0,Belgium,1978,satisfied
106510,Frequent Traveler,53,Leisure Trip,Standard,1120,2,1,1,1,1,5,4,2,2,2,2,2,2,3,0,0,Netherlands,2011,satisfied
106511,Frequent Traveler,67,Leisure Trip,Standard,541,2,2,2,2,5,4,5,5,5,5,5,5,5,5,0,0,Italy,1948,satisfied
106512,Frequent Traveler,37,Work Commute,First Class,338,0,0,0,2,3,4,4,4,4,,4,5,4,4,0,0,Norway,1933,satisfied
106513,Frequent Traveler,61,Leisure Trip,Standard,1107,3,4,0,3,4,0,4,4,3,5,5,5,4,4,0,0,Germany,2002,dissatisfied
106514,Frequent Traveler,45,Work Commute,Standard,936,1,3,3,3,3,3,4,1,1,1,1,1,1,2,0,0,France,1976,dissatisfied
106515,Frequent Traveler,19,Leisure Trip,Standard,2555,3,2,3,3,1,3,3,1,1,5,2,1,3,1,0,20,Belgium,2011,dissatisfied
106516,Occasional Traveler,22,Work Commute,Standard,2016,2,2,2,4,5,2,5,5,2,2,4,4,1,5,0,0,Germany,1975,dissatisfied
106517,Frequent Traveler,49,Work Commute,First Class,4017,4,3,3,3,1,3,3,4,4,4,4,4,4,3,0,3,Switzerland,2003,dissatisfied
106518,Frequent Traveler,12,Leisure Trip,Standard,2224,3,5,3,2,1,3,1,1,5,2,5,5,5,1,26,24,Sweden,1981,dissatisfied
106519,Frequent Traveler,46,Leisure Trip,Comfort,55,1,1,1,1,3,4,4,5,5,5,5,4,5,5,16,11,Switzerland,1958,satisfied
106520,Occasional Traveler,36,Work Commute,First Class,3574,3,3,3,1,3,5,5,5,5,4,5,5,5,5,2,13,Sweden,2014,dissatisfied
106521,Occasional Traveler,22,Work Commute,Standard,2298,4,4,4,2,2,4,2,2,2,5,2,4,5,2,0,1,Netherlands,2013,satisfied
106522,Frequent Traveler,48,Work Commute,First Class,1543,1,1,1,1,4,4,4,5,5,5,5,4,5,5,0,0,Netherlands,1972,satisfied
106523,Frequent Traveler,53,Leisure Trip,Standard,1974,4,5,4,3,2,4,2,2,5,4,4,3,4,2,0,0,Belgium,1976,dissatisfied
106524,Frequent Traveler,48,Work Commute,First Class,938,1,5,2,5,1,4,4,1,1,2,1,4,1,4,0,8,Norway,1988,dissatisfied
106525,Frequent Traveler,58,Work Commute,First Class,1628,1,1,1,1,4,5,5,4,4,4,4,4,4,3,0,5,Austria,2011,satisfied
106526,Frequent Traveler,61,Work Commute,First Class,1896,2,2,2,2,3,3,3,3,3,3,2,1,3,3,80,71,Netherlands,1949,dissatisfied
106527,Occasional Traveler,20,Work Commute,Standard,2059,2,2,2,4,4,2,4,4,3,2,4,4,5,4,0,,Norway,1971,dissatisfied
106528,Occasional Traveler,27,Work Commute,Comfort,982,2,2,2,3,3,2,3,3,2,5,4,5,1,3,3,2,Netherlands,2013,dissatisfied
106529,Occasional Traveler,22,Work Commute,First Class,1842,2,2,2,4,3,2,1,3,2,4,3,3,3,3,16,17,Germany,1986,dissatisfied
106530,Frequent Traveler,30,Work Commute,Comfort,1437,3,2,1,2,3,3,3,3,1,5,3,4,4,3,0,0,Spain,2004,dissatisfied
106531,Frequent Traveler,40,Work Commute,Standard,1999,2,4,4,4,2,2,2,2,3,3,3,4,3,2,0,0,Germany,2020,dissatisfied
106532,Occasional Traveler,37,Work Commute,First Class,1961,2,2,2,4,1,2,4,1,4,3,5,5,4,1,0,0,Sweden,2019,dissatisfied
106533,Frequent Traveler,26,Leisure Trip,Standard,3872,4,2,2,2,3,4,2,4,4,4,4,5,4,1,1,0,Belgium,1997,satisfied
106534,Frequent Traveler,42,Work Commute,First Class,408,4,4,4,4,5,4,2,4,4,4,4,2,4,1,0,0,Belgium,1972,satisfied
106535,Frequent Traveler,38,Leisure Trip,Standard,1857,5,5,5,5,4,5,5,5,5,5,5,3,5,3,104,123,Italy,1986,satisfied
106536,Frequent Traveler,52,Work Commute,First Class,3324,3,4,4,4,3,3,3,3,3,3,3,4,3,2,0,0,Italy,2015,dissatisfied
106537,Occasional Traveler,24,Work Commute,First Class,2148,5,0,5,3,3,5,3,3,4,4,4,3,5,3,3,0,Germany,1995,satisfied
106538,Frequent Traveler,37,Work Commute,First Class,3458,1,1,1,1,2,5,5,5,5,5,5,5,5,5,0,7,Sweden,1978,satisfied
106539,Frequent Traveler,26,Leisure Trip,Standard,2092,1,5,1,3,3,1,2,3,3,3,5,3,4,3,0,0,Norway,1975,dissatisfied
106540,Frequent Traveler,58,Leisure Trip,Standard,616,4,5,4,3,3,4,5,3,3,4,3,4,3,3,7,0,Italy,1931,satisfied
106541,Frequent Traveler,22,Leisure Trip,Standard,2496,2,4,3,1,1,3,5,1,4,3,4,3,5,1,0,9,Belgium,1958,dissatisfied
106542,Occasional Traveler,29,Work Commute,First Class,1740,2,2,2,1,4,2,4,4,3,2,4,4,4,4,93,91,Netherlands,1939,dissatisfied
106543,Frequent Traveler,27,Work Commute,Standard,1948,5,3,3,3,5,5,5,5,4,2,5,1,5,5,0,12,Austria,1930,satisfied
106544,Occasional Traveler,42,Work Commute,First Class,1640,3,3,3,3,4,3,3,4,5,4,5,4,4,4,0,0,Sweden,2018,dissatisfied
106545,Frequent Traveler,22,,First Class,1347,3,3,3,3,4,4,4,4,5,3,5,4,5,4,10,0,Belgium,,satisfied
106546,Occasional Traveler,27,Work Commute,First Class,2496,3,3,3,4,5,3,5,5,3,4,4,1,3,5,8,0,Norway,1978,dissatisfied
106547,Occasional Traveler,23,Work Commute,Standard,2155,2,2,2,2,5,2,5,5,3,3,2,2,1,5,18,2,Austria,1992,dissatisfied
106548,Frequent Traveler,34,Work Commute,First Class,460,3,3,3,3,2,3,3,3,3,3,3,3,3,3,0,0,Netherlands,2014,dissatisfied
106549,Occasional Traveler,16,Work Commute,Standard,1960,4,4,4,2,5,4,5,5,4,2,3,2,1,5,0,2,Spain,1994,satisfied
106550,Frequent Traveler,40,Work Commute,First Class,2830,1,1,1,1,3,4,4,5,5,5,4,4,5,5,0,0,Spain,1996,satisfied
106551,Frequent Traveler,22,Work Commute,Comfort,1260,2,5,2,2,2,2,2,2,4,5,1,1,1,2,19,20,Norway,1997,dissatisfied
106552,Frequent Traveler,53,Work Commute,First Class,2436,5,5,5,5,2,5,5,4,4,4,4,5,4,3,13,23,Spain,1981,satisfied
106553,Frequent Traveler,28,Work Commute,First Class,1892,5,5,5,5,4,4,4,4,3,2,2,5,3,4,0,0,Netherlands,2012,satisfied
106554,Occasional Traveler,34,Work Commute,First Class,1330,1,2,2,3,5,2,1,5,3,4,4,3,4,5,4,0,Netherlands,2012,dissatisfied
106555,Frequent Traveler,25,Work Commute,First Class,3192,2,2,1,2,4,4,4,4,4,4,3,4,4,4,21,11,Spain,1957,satisfied
106556,Frequent Traveler,46,Work Commute,Standard,1969,1,3,3,3,1,1,1,1,4,3,4,1,3,1,19,25,Spain,2007,dissatisfied
106557,Frequent Traveler,53,Leisure Trip,Standard,1962,3,3,3,4,4,3,4,4,1,2,3,1,3,4,2,0,Norway,1942,dissatisfied
106558,Frequent Traveler,41,Leisure Trip,Standard,2261,4,2,2,2,1,1,2,5,5,4,5,4,5,1,58,41,Netherlands,2002,satisfied
106559,Frequent Traveler,39,Leisure Trip,Standard,2362,4,1,4,4,5,4,5,5,1,1,3,2,3,5,0,0,Norway,1998,satisfied
106560,Frequent Traveler,35,Work Commute,First Class,2062,5,5,5,5,2,4,5,3,3,3,3,5,3,4,0,6,Belgium,1934,satisfied
106561,Frequent Traveler,33,Work Commute,First Class,1694,4,4,4,4,2,5,4,5,5,5,5,5,5,5,0,0,Switzerland,1959,satisfied
106562,Frequent Traveler,77,Work Commute,Comfort,2157,3,5,1,1,3,3,3,3,2,5,3,4,3,3,29,44,Norway,1977,dissatisfied
106563,Frequent Traveler,26,Leisure Trip,Standard,1486,3,3,3,3,4,4,4,4,4,2,4,5,5,4,0,0,Sweden,2007,satisfied
106564,Frequent Traveler,14,Leisure Trip,Standard,2713,3,4,3,2,1,3,1,1,4,5,5,4,5,1,25,31,Norway,1945,dissatisfied
106565,Frequent Traveler,38,Work Commute,Standard,1664,3,5,5,5,3,3,3,3,1,5,4,3,4,3,0,12,Germany,1949,dissatisfied
106566,Occasional Traveler,48,Work Commute,Standard,1707,2,4,2,3,5,2,4,5,2,1,2,4,5,5,25,33,Germany,1935,dissatisfied
106567,Frequent Traveler,58,Work Commute,First Class,2077,1,1,2,1,5,4,5,5,5,5,5,5,5,4,1,0,Italy,1998,satisfied
106568,Occasional Traveler,39,Work Commute,First Class,1777,3,3,3,4,3,3,3,3,2,3,1,5,2,3,9,6,Germany,1959,dissatisfied
106569,Frequent Traveler,40,Leisure Trip,Standard,1594,5,5,5,5,3,4,4,5,5,5,4,4,5,3,6,1,France,1953,satisfied
106570,Occasional Traveler,18,Work Commute,Standard,2096,3,4,4,3,4,1,1,1,5,5,3,1,4,1,0,21,Switzerland,2016,dissatisfied
106571,Frequent Traveler,66,Leisure Trip,Standard,1745,2,5,2,5,3,2,3,3,4,2,5,3,4,3,0,6,Austria,1980,dissatisfied
106572,Occasional Traveler,23,Work Commute,First Class,1379,0,0,0,5,2,0,1,2,3,3,4,3,5,2,2,3,France,2018,satisfied
106573,Occasional Traveler,35,Work Commute,First Class,2012,1,1,1,3,4,1,4,4,4,4,5,4,4,4,10,13,Sweden,1934,dissatisfied
106574,Frequent Traveler,35,Work Commute,Standard,1027,4,4,4,4,4,5,4,4,5,4,4,5,2,4,0,0,Netherlands,2014,satisfied
106575,Frequent Traveler,51,Work Commute,Standard,631,5,4,4,4,1,2,1,5,5,5,5,1,5,1,0,0,France,1994,satisfied
106576,Frequent Traveler,49,Work Commute,First Class,942,1,1,1,1,2,5,5,5,5,5,5,5,5,3,39,33,France,1966,satisfied
106577,Occasional Traveler,33,Work Commute,Standard,1745,1,1,1,4,5,1,5,5,4,1,3,4,4,5,0,12,Belgium,1995,dissatisfied
106578,Frequent Traveler,22,Work Commute,First Class,1674,3,1,1,1,3,3,3,3,3,5,4,1,3,3,0,0,Belgium,2000,dissatisfied
106579,Frequent Traveler,16,Leisure Trip,Standard,1836,3,3,3,3,3,4,5,5,5,5,5,3,5,3,3,0,Austria,1998,satisfied
106580,Frequent Traveler,23,Leisure Trip,First Class,1933,3,4,4,4,1,4,1,1,5,3,5,5,4,1,0,0,Austria,1949,dissatisfied
106581,Frequent Traveler,65,Work Commute,First Class,2082,1,1,1,1,3,5,5,5,5,5,5,5,5,3,5,0,Sweden,1945,satisfied
106582,Frequent Traveler,34,Work Commute,Comfort,1737,0,0,0,1,4,0,4,4,4,3,5,2,5,4,0,0,Spain,2000,satisfied
106583,Frequent Traveler,56,Work Commute,Comfort,395,5,1,1,1,1,5,3,5,5,5,5,5,5,3,4,0,Belgium,2008,satisfied
106584,Frequent Traveler,48,Work Commute,First Class,2922,5,5,5,5,4,3,3,5,5,5,5,2,5,2,0,0,Norway,1997,satisfied
106585,Frequent Traveler,44,Leisure Trip,Standard,2045,2,4,1,3,4,1,4,4,3,4,4,4,5,4,14,1,Austria,1983,dissatisfied
106586,Occasional Traveler,47,Work Commute,Comfort,1428,3,4,4,3,5,3,1,5,1,1,3,3,3,5,0,0,Norway,1955,dissatisfied
106587,Occasional Traveler,48,Work Commute,Standard,1383,5,3,5,5,5,5,5,5,4,5,5,1,4,5,0,0,Germany,1983,satisfied
106588,Frequent Traveler,55,Work Commute,Standard,3631,1,2,2,2,1,1,1,1,2,5,3,2,3,1,20,7,Italy,1932,dissatisfied
106589,Frequent Traveler,61,Work Commute,First Class,252,1,1,1,1,4,5,5,5,5,5,5,5,5,3,0,0,Switzerland,1931,satisfied
106590,Frequent Traveler,55,Work Commute,First Class,1102,3,3,3,3,5,4,4,4,4,4,4,5,4,4,0,0,Norway,1994,satisfied
106591,Frequent Traveler,51,Work Commute,First Class,2788,1,1,1,1,2,5,5,5,5,5,5,4,5,3,0,0,Switzerland,2000,satisfied
106592,Frequent Traveler,55,Leisure Trip,Standard,708,5,4,5,1,3,4,4,4,4,5,4,3,4,5,8,2,France,2009,satisfied
106593,Frequent Traveler,67,Work Commute,First Class,3014,4,4,4,4,5,3,4,5,5,5,5,2,5,4,5,4,Sweden,1958,satisfied
106594,Frequent Traveler,42,Work Commute,First Class,1446,2,2,2,2,2,4,4,5,5,5,5,5,5,5,11,0,Italy,1971,satisfied
106595,Frequent Traveler,35,Leisure Trip,Comfort,2915,3,1,3,1,2,3,2,2,1,3,1,4,2,2,0,45,Spain,1946,dissatisfied
106596,Occasional Traveler,35,Work Commute,Standard,1568,2,0,2,3,2,2,2,2,4,2,3,5,1,2,0,0,Sweden,1978,dissatisfied
106597,Occasional Traveler,24,Work Commute,Standard,1137,2,5,2,2,4,2,4,4,1,4,5,4,4,4,0,0,Austria,1988,dissatisfied
106598,Frequent Traveler,50,Work Commute,Comfort,769,4,5,3,5,1,3,2,4,4,4,4,1,4,3,6,0,Italy,2005,dissatisfied
106599,Frequent Traveler,36,Leisure Trip,Standard,1499,3,1,3,4,4,3,4,4,4,1,4,2,4,4,0,0,Spain,1958,
106600,Frequent Traveler,64,Leisure Trip,Comfort,529,2,2,,2,5,4,5,5,3,5,4,4,4,5,9,27,Italy,1936,satisfied
106601,Frequent Traveler,51,Leisure Trip,First Class,1679,1,1,1,1,3,5,5,4,4,5,4,5,4,3,3,0,France,1939,satisfied
106602,Frequent Traveler,47,Work Commute,First Class,3491,3,3,3,3,5,4,5,4,4,4,4,4,4,4,2,0,Netherlands,1977,satisfied
106603,Occasional Traveler,24,Work Commute,Standard,2529,,0,0,2,2,0,2,2,3,5,5,4,4,2,1,0,Switzerland,1952,satisfied
106604,Frequent Traveler,14,Leisure Trip,Comfort,3398,3,3,3,3,2,3,2,2,1,2,4,4,3,2,22,25,Netherlands,1939,dissatisfied
106605,Occasional Traveler,59,Leisure Trip,Standard,2267,2,3,3,3,4,3,4,4,5,1,3,3,4,4,0,0,Sweden,1983,dissatisfied
106606,Occasional Traveler,24,Work Commute,Standard,1332,4,4,4,,5,4,5,5,3,4,5,5,5,5,0,0,Italy,1946,satisfied
106607,Frequent Traveler,31,Work Commute,First Class,3250,4,4,4,4,5,5,5,5,3,2,4,5,5,5,18,13,Germany,1963,satisfied
106608,Frequent Traveler,62,Work Commute,Standard,2223,4,1,1,1,4,4,4,4,3,2,3,2,5,4,0,0,Switzerland,2015,satisfied
106609,Occasional Traveler,50,Work Commute,First Class,2059,4,4,4,4,3,4,3,3,3,4,4,5,5,3,0,0,Germany,1958,satisfied
106610,Frequent Traveler,49,Work Commute,First Class,3600,4,4,4,4,4,5,5,5,5,5,5,5,5,3,17,23,Belgium,1964,satisfied
106611,Occasional Traveler,44,Work Commute,First Class,2147,3,4,4,3,4,3,4,4,4,2,5,3,5,4,0,7,Norway,1984,
106612,Frequent Traveler,40,Work Commute,First Class,3837,3,3,3,3,4,4,5,5,5,5,5,4,5,4,0,0,Spain,1965,satisfied
106613,Frequent Traveler,59,Work Commute,First Class,3376,4,4,4,4,2,1,5,5,5,5,5,3,5,3,0,1,Sweden,1970,satisfied
106614,Frequent Traveler,39,Work Commute,First Class,1004,2,2,5,2,5,4,5,4,4,4,4,3,4,4,0,5,Netherlands,2010,satisfied
106615,Frequent Traveler,26,Work Commute,First Class,5603,2,2,2,2,5,5,5,5,3,5,4,4,4,5,0,0,Belgium,1930,satisfied
106616,Frequent Traveler,58,Work Commute,First Class,740,1,1,2,1,4,,5,5,5,5,5,5,5,4,88,76,Italy,1974,satisfied
106617,Frequent Traveler,49,Work Commute,First Class,271,3,2,3,2,3,1,3,3,3,,3,2,3,1,43,36,Italy,2011,dissatisfied
106618,Frequent Traveler,28,Leisure Trip,Standard,2377,3,3,3,3,2,4,5,3,3,2,3,5,3,3,1,0,Austria,1953,satisfied
106619,Occasional Traveler,24,Work Commute,Standard,2189,3,3,3,4,2,3,2,2,2,5,3,4,4,2,0,7,France,1957,dissatisfied
106620,Frequent Traveler,55,Leisure Trip,Standard,1549,5,4,5,4,4,3,4,4,4,5,4,1,4,4,29,5,Sweden,1945,satisfied
106621,Frequent Traveler,39,Work Commute,,1728,2,2,5,2,5,1,5,3,3,4,3,2,3,4,0,0,Netherlands,1962,satisfied
106622,Frequent Traveler,41,Work Commute,Comfort,694,5,2,2,2,2,2,4,,5,5,5,5,5,4,0,0,Switzerland,1987,satisfied
106623,Frequent Traveler,30,Work Commute,First Class,2341,5,5,5,5,5,5,5,5,1,2,3,5,5,5,0,0,Sweden,1956,satisfied
106624,Occasional Traveler,51,Work Commute,Standard,1841,3,1,3,3,2,3,2,2,4,2,4,2,4,2,0,0,Belgium,1955,dissatisfied
106625,Frequent Traveler,15,Work Commute,First Class,2553,1,1,1,1,4,4,4,4,4,5,5,4,5,4,0,0,Italy,1946,satisfied
106626,Frequent Traveler,9,Leisure Trip,Standard,2471,3,3,5,3,4,4,4,3,3,3,3,4,3,5,0,2,Switzerland,2019,satisfied
106627,Frequent Traveler,37,Work Commute,First Class,1478,3,3,3,3,2,4,2,5,5,5,5,2,5,1,0,0,France,2016,satisfied
106628,Frequent Traveler,25,Leisure Trip,Standard,1438,3,4,4,3,1,4,2,1,4,2,2,5,2,1,0,10,Switzerland,1983,dissatisfied
106629,Frequent Traveler,60,Leisure Trip,Standard,555,4,4,4,4,3,3,,4,4,4,4,4,,5,0,0,Germany,2006,satisfied
106630,Frequent Traveler,23,Leisure Trip,Standard,930,1,1,1,1,4,5,4,4,4,4,4,3,4,5,0,0,Switzerland,2003,satisfied
106631,Occasional Traveler,28,Work Commute,First Class,1986,1,1,1,5,4,1,4,4,5,2,4,3,5,4,0,0,Sweden,1974,dissatisfied
106632,Frequent Traveler,57,Work Commute,,1381,5,3,5,5,2,5,4,5,5,4,5,3,5,3,0,0,Spain,2002,satisfied
106633,Frequent Traveler,51,Work Commute,Comfort,82,4,3,5,5,5,4,1,4,4,4,4,4,4,3,0,0,Norway,1984,satisfied
106634,Frequent Traveler,39,Work Commute,First Class,1861,1,1,1,1,3,5,4,5,5,5,5,4,5,5,8,2,Switzerland,1995,satisfied
106635,Frequent Traveler,62,Leisure Trip,Standard,1653,3,2,3,3,5,3,5,5,4,3,4,1,3,5,7,3,Sweden,1969,dissatisfied
106636,Frequent Traveler,53,Work Commute,Standard,1929,3,2,2,2,3,3,3,3,2,5,3,2,3,3,0,0,Switzerland,1960,dissatisfied
106637,Frequent Traveler,42,Work Commute,Standard,2064,4,3,3,3,4,4,4,4,2,1,5,2,1,4,0,0,Switzerland,1984,satisfied
106638,Frequent Traveler,44,Work Commute,Standard,1787,4,4,4,4,2,2,4,4,4,4,4,1,4,3,4,0,Italy,1983,dissatisfied
106639,Frequent Traveler,25,Work Commute,First Class,4029,3,3,3,3,4,4,4,4,2,4,5,4,4,4,18,4,Netherlands,1943,satisfied
106640,Occasional Traveler,22,Work Commute,Standard,2269,2,2,2,3,4,2,4,4,2,4,3,1,4,4,0,13,Switzerland,1961,dissatisfied
106641,Occasional Traveler,17,Work Commute,Standard,2598,1,2,2,3,4,1,4,4,5,3,5,4,4,4,0,0,Netherlands,1992,dissatisfied
106642,Frequent Traveler,48,Work Commute,First Class,752,5,5,2,5,2,5,4,5,5,5,5,5,5,3,5,9,Sweden,1932,satisfied
106643,Frequent Traveler,14,Leisure Trip,Standard,2022,4,4,4,4,2,1,2,4,4,4,4,1,4,3,0,6,Italy,1943,satisfied
106644,Occasional Traveler,26,Work Commute,Standard,2074,4,2,4,3,2,4,2,2,2,2,3,3,3,2,12,2,Spain,1972,dissatisfied
106645,Frequent Traveler,52,Leisure Trip,First Class,538,5,4,5,3,3,2,3,1,1,5,1,3,1,2,0,0,Austria,1947,satisfied
106646,Frequent Traveler,23,Work Commute,Standard,1551,1,3,3,3,1,1,4,1,2,3,4,4,4,1,81,81,,1939,dissatisfied
106647,Frequent Traveler,35,Leisure Trip,Standard,2045,4,5,5,4,2,5,2,2,5,4,5,4,4,2,0,0,Belgium,1985,dissatisfied
106648,Occasional Traveler,8,Work Commute,Standard,2443,3,3,3,1,1,3,1,1,4,5,5,3,4,1,0,0,France,1980,dissatisfied
106649,Frequent Traveler,43,Work Commute,First Class,1697,2,2,2,2,2,2,4,5,5,5,3,1,5,5,7,2,Norway,2009,satisfied
106650,Frequent Traveler,44,Work Commute,First Class,78,4,4,4,4,5,3,2,5,5,5,5,3,5,3,0,0,France,1951,satisfied
106651,Occasional Traveler,18,Work Commute,Standard,1163,3,3,3,3,5,3,5,5,2,1,3,3,3,5,0,0,Austria,1978,dissatisfied
106652,Frequent Traveler,55,Work Commute,First Class,248,5,5,5,5,5,4,5,5,5,5,5,3,5,5,0,10,Netherlands,1974,satisfied
106653,Frequent Traveler,38,Work Commute,Standard,1685,4,5,5,5,4,4,4,4,1,2,4,1,4,4,120,115,France,1979,dissatisfied
106654,Frequent Traveler,13,Leisure Trip,Standard,2285,4,1,4,1,1,4,1,1,4,4,1,4,1,1,0,0,Sweden,2012,dissatisfied
106655,Frequent Traveler,58,Work Commute,Standard,2276,1,4,4,4,1,1,1,1,4,1,3,1,4,1,19,0,France,1948,dissatisfied
106656,Frequent Traveler,38,Work Commute,First Class,577,2,2,2,2,2,2,3,2,2,2,2,1,2,3,0,0,Netherlands,2018,dissatisfied
106657,Frequent Traveler,51,Work Commute,First Class,1696,4,4,4,4,5,5,5,5,5,5,5,3,5,4,28,15,Sweden,1987,satisfied
106658,Frequent Traveler,33,Leisure Trip,Standard,3244,2,3,2,3,1,2,1,1,4,5,4,5,4,1,0,0,Spain,1945,dissatisfied
106659,Frequent Traveler,12,Leisure Trip,Standard,1624,3,3,3,3,5,5,5,5,5,5,5,3,5,5,0,0,Sweden,1943,satisfied
106660,Frequent Traveler,49,Work Commute,Standard,2891,4,2,2,2,4,4,,4,2,2,1,5,2,4,5,17,Spain,1996,satisfied
106661,Frequent Traveler,50,Work Commute,Standard,2971,5,1,5,1,,5,5,5,2,2,2,5,4,5,7,32,Spain,1955,satisfied
106662,Occasional Traveler,26,Work Commute,Standard,1449,2,0,2,5,2,2,2,2,1,3,3,1,1,2,6,5,Italy,2002,dissatisfied
106663,Frequent Traveler,39,Work Commute,Standard,1581,4,5,1,1,4,4,4,4,2,2,4,4,4,4,0,0,Sweden,1975,satisfied
106664,Frequent Traveler,58,Work Commute,First Class,2752,4,4,4,4,4,5,5,5,5,5,5,3,5,3,22,12,France,1930,satisfied
106665,Occasional Traveler,50,Work Commute,First Class,2094,3,4,4,3,2,3,2,2,4,2,5,3,4,2,0,0,Italy,2002,dissatisfied
106666,Frequent Traveler,40,Work Commute,First Class,226,2,2,2,2,3,4,5,4,4,4,5,3,4,5,0,0,Austria,1933,satisfied
106667,Occasional Traveler,,Work Commute,First Class,2839,,3,3,3,4,3,3,4,3,4,3,5,4,4,4,2,Belgium,1980,dissatisfied
